Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
65,NA6Q,442.900000,+,5.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Clarksville,,,,
66,N4KWT,443.975000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"Louisville, KY",,,,
67,N4KWT,444.025000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"Louisville, KY",,,,
68,KB9OHY,444.050000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"Paoli, IN",,,,
69,N9CVA,444.200000,+,5.000000,Cross,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"Floyds Knobs, WHAS Tower",,,,
70,KB4PTJ,444.100000,+,5.000000,Tone,91.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"Shelbyville, KY - Linked to Williamsburg, KY and Knoxville, TN",,,,
71,N4UL,444.125000,+,5.000000,Tone,173.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Louisville,,,,
72,WD9ANK,444.375000,+,5.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"Floyds Knobs, IN",,,,
73,KY4LAW,444.400000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"Lawrenceberg, KY",,,,
74,WB4UMR,444.425000,+,5.000000,DTCS-R,71.9,88.5,071,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
75,AC4VV,444.450000,+,5.000000,Tone,79.7,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"Sheperdsville, KY",,,,
76,N4MRM,444.600000,+,5.000000,Tone,151.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Pleasure Ridge Park,,,,
77,KN4ZYS,444.900000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"Louisville, KY",,,,
78,N4NMC,462.550000,+,5.000000,Tone,151.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Louisville,,,,
79,GMRS1,462.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
80,GMRS2,462.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
81,GMRS3,462.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
82,GMRS4,462.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
83,GMRS5,462.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
84,GMRS6,462.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
85,GMRS7,462.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
86,GMRS8,467.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.0W,,,,,
87,GMRS9,467.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.0W,,,,,
88,GMRS10,467.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.0W,,,,,
89,GMRS11,467.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.0W,,,,,
90,GMRS12,467.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.0W,,,,,
91,GMRS13,467.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.0W,,,,,
92,GMRS14,467.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.0W,,,,,
93,GMRS15,462.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
94,GMRS16,462.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
95,GMRS17,462.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
96,GMRS18,462.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
97,GMRS19,462.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
98,GMRS20,462.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
99,GMRS21,462.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
100,GMRS22,462.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
101,GMRSLOU,462.575000,+,5.000000,DTCS,88.5,88.5,654,NN,654,Tone->Tone,FM,5.00,,4.0W,Louisville - K.A.R.S. GMRS Repeater,,,,
102,GMRSFKB,462.600000,+,5.000000,DTCS,88.5,88.5,315,NN,315,Tone->Tone,FM,5.00,,4.0W,Floyds Knobs - GMRS Repeater,,,,
103,GRMSNOR,462.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,NorthOakRidge 700  - GRMS Repeater WQXP646,,,,
104,GRMSBRE,462.675000,,0.000000,DTCS,88.5,88.5,043,NN,043,Tone->Tone,FM,5.00,,4.0W,Breck Country - GRMS Repeater,,,,
105,GRMSSAM,462.550000,,0.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
106,GRMSSAM,462.550000,,0.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Sammycom2 - GRMS Repeater WRKB490,,,,
107,GRMSBNV,462.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,BNV725 Boonville - GRMS Repeater,,,,
108,NOAAWX3,162.475000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Sammycom1 - GRMS Repeater WRKB490,,,,
109,GRMSBRW,462.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Brown County 700  - GRMS Repeater,,,,
